,Rating,Artist,Album,Date,,,,,,,,
2046,8.6,Linda Perhacs,Parallelograms,8/12/2003,,,,,,,,
2047,7.2,Bride of No No,II,8/12/2003,,,,,,,,
2048,7.6,Young Marble Giants,Colossal Youth,8/11/2003,,,,,,,,
2049,7,The Tyde,Twice,8/11/2003,,,,,,,,
2050,8.7,Felt,Stains on a Decade,8/11/2003,,,,,,,,
2051,7.4,Flim,Helio,8/13/2003,,,,,,,,
2052,7.7,Cobra High,Sunset in the Eye of the Hurricane,8/13/2003,,,,,,,,
2053,8.6,Madlib,Shades of Blue: Madlib Invades Blue Note,8/12/2003,,,,,,,,
2054,8.3,Keith Hudson,Playing it Cool and Playing it Right,8/12/2003,,,,,,,,
2055,9.1,Frog Eyes,The Golden River,8/12/2003,,,,,,,,
2056,8.1,Various Artists,The American Song-Poem Anthology,8/14/2003,,,,,,,,
2057,8.7,Brother Ali,Shadows on the Sun,8/14/2003,,,,,,,,
2058,7.7,Ween,quebec,8/13/2003,,,,,,,,
2059,4.9,Tricky,Vulnerable,8/13/2003,,,,,,,,
2060,8,Scanner / David Toop / I/03,"A Picturesque View, Ignored",8/13/2003,,,,,,,,
2061,8.1,Donna Summer,This Needs to Be Your Style,8/17/2003,,,,,,,,
2062,7,Buck 65,Square,8/17/2003,,,,,,,,
2063,8.4,Stars,Heart,8/14/2003,,,,,,,,
2064,8,T. Raumschmiere,Radio Blackout,8/14/2003,,,,,,,,
2065,7.2,Japanther,Leather Wings,8/14/2003,,,,,,,,
2066,7.9,Lowlights,Lowlights,8/18/2003,,,,,,,,
2067,5.4,Damien Rice,O,8/18/2003,,,,,,,,
2068,7.7,Small Brown Bike,The River Bed,8/17/2003,,,,,,,,
2069,6.1,Minibar,Fly Below the Radar,8/17/2003,,,,,,,,
2070,3.5,Interpol,The Black EP,8/17/2003,,,,,,,,
2071,7.2,Darediablo,Feeding Frenzy,8/19/2003,,,,,,,,
2072,7.8,Steve Burns,Songs for Dustmites,8/19/2003,,,,,,,,
2073,8.5,Ami Yoshida,Tiger Thrush,8/18/2003,,,,,,,,
2074,8.8,Simply Saucer,Cyborgs Revisited,8/18/2003,,,,,,,,
2075,7.5,Ahmad Szabo,This Book is About Words,8/18/2003,,,,,,,,
2076,8.3,Constantines,Shine a Light,8/20/2003,,,,,,,,
2077,6,The Cinematic Orchestra,Man With a Movie Camera,8/20/2003,,,,,,,,
2078,4.2,S.A. Smash,Smashy Trashy,8/19/2003,,,,,,,,
2079,7.5,Alasdair Roberts,Farewell Sorrow,8/19/2003,,,,,,,,
2080,7.6,The Matthew Herbert Big Band,Goodbye Swingtime,8/19/2003,,,,,,,,
2081,8.5,Peter Br\xc3\xb6tzmann / William Parker / Hamid Drake,Never Too Late But Always Too Early,8/21/2003,,,,,,,,
2082,7.1,You Am I,Deliverance,8/20/2003,,,,,,,,
2083,2.1,Thick Pigeon,Too Crazy Cowboys,8/20/2003,,,,,,,,
2084,8.3,Tied & Tickled Trio,Observing Systems,8/20/2003,,,,,,,,
2085,4.2,Kings of Leon,Youth and Young Manhood,8/20/2003,,,,,,,,
2086,8.5,Guided By Voices,Earthquake Glue,8/24/2003,,,,,,,,
2087,7.8,Chris Clark,Empty the Bones of You,8/24/2003,,,,,,,,
2088,7.2,Daniel Menche,Beautiful Blood,8/21/2003,,,,,,,,
2089,6.9,Gossip,Undead in NYC,8/21/2003,,,,,,,,
2090,7.2,Rob Crow,My Room is a Mess,8/21/2003,,,,,,,,
2091,5.2,Lonesome Organist,Forms and Follies,8/25/2003,,,,,,,,
2092,7,Guster,Keep It Together,8/25/2003,,,,,,,,
2093,7.6,Holger Czukay / U-She,The New Millennium,8/25/2003,,,,,,,,
2094,8.2,Michael Yonkers,Microminiature Love,8/24/2003,,,,,,,,
2095,3.8,Chris Lee,Cool Rock,8/24/2003,,,,,,,,
2096,8.2,Broadcast,Haha Sound,8/26/2003,,,,,,,,
2097,6.4,Ambulance LTD,Ambulance Ltd EP,8/26/2003,,,,,,,,
2098,6.3,Wildchild,Secondary Protocol,8/25/2003,,,,,,,,
2099,8.3,Arne Nordheim,Dodeka,8/25/2003,,,,,,,,
2100,7.2,The Neptunes,Clones,8/25/2003,,,,,,,,
2101,3.1,Country Teasers,Secret Weapon Revealed at Last,8/27/2003,,,,,,,,
2102,5.9,Brendan Benson and the Wellfed Boys,Metarie EP,8/27/2003,,,,,,,,
2103,8.4,So,So,8/26/2003,,,,,,,,
2104,7.4,Manitoba,Hendrix with Ko EP,8/26/2003,,,,,,,,
2105,4.9,Jedi Mind Tricks,Visions of Gandhi,8/26/2003,,,,,,,,
2106,8,Drive-By Truckers,Decoration Day,8/28/2003,,,,,,,,
2107,7.7,Hella,Bitches Ain't Shit But Good People EP / Total Bugs Bunny on Wild Bass EP,8/28/2003,,,,,,,,
2108,6.1,Unwed Sailor,The Marionette and the Music Box,8/27/2003,,,,,,,,
2109,8.2,Prefuse 73,Extinguished: Outtakes,8/27/2003,,,,,,,,
2110,6.4,Essential Logic,Fanfare in the Garden: An Essential Logic Collection,8/27/2003,,,,,,,,
2111,6.9,Elliott,Song in the Air,9/1/2003,,,,,,,,
2112,8.2,Kevin Drumm,Land of Lurches,9/1/2003,,,,,,,,
2113,4.2,The Appleseed Cast,Two Conversations,9/1/2003,,,,,,,,
2114,7.1,Tsurubami,Gekkyukekkaichi,8/28/2003,,,,,,,,
2115,3.9,Jeffrey Lewis & the Jitters,It's the Ones Who've Cracked That the Light Shines Through,8/28/2003,,,,,,,,
2116,6.9,Old Time Relijun,Varieties of Religious Experience,9/2/2003,,,,,,,,
2117,7.6,Lithops,Scrypt,9/2/2003,,,,,,,,
2118,8,Daniel Johnston,"Songs of Pain: The Early Recordings, Vol. 1",9/2/2003,,,,,,,,
2119,7.4,Dosh,Dosh,9/2/2003,,,,,,,,
2120,6.2,Anna Oxygen,All Your Faded Things,9/1/2003,,,,,,,,
2121,7.5,Matt Suggs,Amigo Row,9/3/2003,,,,,,,,
2122,6.7,Magic Magicians,Magic Magicians,9/3/2003,,,,,,,,
2123,6.2,The Lucksmiths,Naturaliste,9/3/2003,,,,,,,,
2124,6.9,Black Rebel Motorcycle Club,"Take Them On, On Your Own",9/3/2003,,,,,,,,
2125,4.2,Those Peabodys,Unite Tonight,9/2/2003,,,,,,,,
2126,6,Damien Jurado,Holding His Breath EP,9/4/2003,,,,,,,,
2127,7.7,Various Artists,Total 5,9/4/2003,,,,,,,,
2128,9.1,Bad Brains,Banned in D.C.: Bad Brains Greatest Riffs,9/4/2003,,,,,,,,
2129,7.2,Push Button Objects,Ghetto Blaster,9/4/2003,,,,,,,,
2130,7.3,Twin Atlas,Inside the Skate Scandal,9/3/2003,,,,,,,,
2131,5.2,Quasi,Hot Shit,9/7/2003,,,,,,,,
2132,7.9,Enduser,Sonic Terror Tour 2003,9/7/2003,,,,,,,,
2133,8.2,The Decemberists,Her Majesty The Decemberists,9/7/2003,,,,,,,,
2134,7.8,Slumber Party,3,9/7/2003,,,,,,,,
2135,8.3,Polysics,Neu,9/4/2003,,,,,,,,
2136,7.3,Philip Jeck / Main / Oval / Henri Pousseur,4 Parabolic Mixes,9/8/2003,,,,,,,,
2137,7.8,Kaito,Band Red,9/8/2003,,,,,,,,
2138,7,Enon,Hocus Pocus,9/8/2003,,,,,,,,
2139,4.9,Nurse With Wound,Salt Marie Celeste / She and Me Fall Together in Free Death / The Musty Odour of Pierced Rectums,9/8/2003,,,,,,,,
2140,7.7,Richard X,"X-Factor, Vol. 1",9/7/2003,,,,,,,,
2141,9,The Rapture,Echoes,9/9/2003,,,,,,,,
2142,7.9,Gary Lucas,The Edge of Heaven,9/9/2003,,,,,,,,
2143,5.3,The Libertines,I Get Along EP,9/9/2003,,,,,,,,
2144,5.2,Brian Eno,Music for Films III,9/9/2003,,,,,,,,
2145,8.3,John Zorn,Chimeras,9/8/2003,,,,,,,,
2146,5.5,The Notwist,Lichter EP,9/10/2003,,,,,,,,
2147,7.7,Centro-matic,Love You Just the Same,9/10/2003,,,,,,,,
2148,7.4,Archigram,Crydamoure Presents Waves II,9/10/2003,,,,,,,,
2149,8.7,Merzbow,Pulse Demon / Animal Magnetism,9/10/2003,,,,,,,,
2150,7.7,Ride,Waves,9/9/2003,,,,,,,,
2151,5.9,Subarachnoid Space,Also Rising,9/11/2003,,,,,,,,
2152,8.3,Pretty Girls Make Graves,The New Romance,9/11/2003,,,,,,,,
2153,7.3,Larval,Obedience,9/11/2003,,,,,,,,
2154,7.4,K.C. Accidental,Captured Anthems for an Empty Bathtub,9/11/2003,,,,,,,,
2155,6.7,Loren Connors,"The Departing of a Dream, Vol. II",9/11/2003,,,,,,,,
2156,8.4,Iron & Wine,The Sea and The Rhythm EP,9/14/2003,,,,,,,,
2157,3.5,Electronicat,21st Century Toy,9/14/2003,,,,,,,,
2158,6.4,Death in Vegas,Scorpio Rising,9/14/2003,,,,,,,,
2159,7,The Bad Plus,These Are the Vistas,9/14/2003,,,,,,,,
2160,7.8,A Trillion Barnacle Lapse,Black Lava,9/14/2003,,,,,,,,
2161,9.1,Viktor Vaughn,Vaudeville Villain,9/15/2003,,,,,,,,
2162,5.4,Rosie Thomas,Only With Laughter Can You Win,9/15/2003,,,,,,,,
2163,3.8,Suntanama,Another,9/15/2003,,,,,,,,
2164,7.4,Immortal Technique,"Revolutionary, Vol. 2",9/15/2003,,,,,,,,
2165,8.2,Double Leopards,Halve Maen,9/15/2003,,,,,,,,
2166,5,Thor,Triumphant,9/16/2003,,,,,,,,
2167,3.2,Juelz Santana,From Me to U,9/16/2003,,,,,,,,
2168,4.9,Stars as Eyes,Loud New Shit,9/16/2003,,,,,,,,
2169,7.8,Danger Mouse / Jemini,Ghetto Pop Life,9/16/2003,,,,,,,,
2170,7.3,David Bowie,Reality,9/16/2003,,,,,,,,
2171,5.5,Matt Sharp,Puckett's Versus the Country Boy EP,9/17/2003,,,,,,,,
2172,6.3,Sam Roberts,We Were Born in a Flame,9/17/2003,,,,,,,,
2173,6.6,Nymphomatriarch,Nymphomatriarch,9/17/2003,,,,,,,,
2174,8.3,My Morning Jacket,It Still Moves,9/17/2003,,,,,,,,
2175,7.7,Beat Happening,Music to Climb the Apple Tree By,9/17/2003,,,,,,,,
2176,8.1,Villalobos,Alcachofa,9/18/2003,,,,,,,,
2177,7.4,The Silver Mt. Zion Memorial Orchestra & Tra-la-la Band with Choir,"This is Our Punk Rock, Thee Rusted Satellites Gather + Sing",9/18/2003,,,,,,,,
2178,4.1,Dudley Perkins,A Lil' Light,9/18/2003,,,,,,,,
2179,7.3,Mates of State,Team Boo,9/18/2003,,,,,,,,
2180,3.9,Phantom Tollbooth / Lifeguards,Beard of Lightning / Mist King Urth,9/18/2003,,,,,,,,
2181,7.3,South,With the Tides,9/21/2003,,,,,,,,
2182,7.2,Manual,Isares EP,9/21/2003,,,,,,,,
2183,8.5,The Deadly Snakes,Ode to Joy,9/21/2003,,,,,,,,
2184,6.8,Beulah,Yoko,9/21/2003,,,,,,,,
2185,6,Azure Ray,The Drinks We Drank Last Night EP,9/21/2003,,,,,,,,
2186,8,OutKast,Speakerboxxx/The Love Below,9/22/2003,,,,,,,,
2187,7.3,Ramones,NYC 1978,9/22/2003,,,,,,,,
2188,6.5,The Orb,Bicycles & Tricycles,9/22/2003,,,,,,,,
2189,8.2,George,The Magic Lantern,9/22/2003,,,,,,,,
2190,7.9,Sascha Funke,Bravo,9/22/2003,,,,,,,,
2191,5.3,Town and Country,5,9/23/2003,,,,,,,,
2192,8.4,Need New Body,UFO,9/23/2003,,,,,,,,
2193,7.1,Dead Milkmen,Now We Are 20,9/23/2003,,,,,,,,
2194,7.6,Buck 65,Talkin' Honky Blues,9/23/2003,,,,,,,,
2195,5.4,Frank Black & the Catholics,Show Me Your Tears,9/23/2003,,,,,,,,
2196,5.9,Sounds,Living in America,9/24/2003,,,,,,,,
2197,6.2,Spiritualized,Amazing Grace,9/24/2003,,,,,,,,
2198,7.3,The Rosebuds,Make Out,9/24/2003,,,,,,,,
2199,7.9,Fritz Ostermayer,Kitsch Concrete,9/24/2003,,,,,,,,
2200,7.3,Metric,"Old World Underground, Where Are You Now",9/24/2003,,,,,,,,
2201,6.1,Swell,Whenever You're Ready,9/25/2003,,,,,,,,
2202,8.5,Emperor,Scattered Ashes: A Decade of Emperial Wrath,9/25/2003,,,,,,,,
2203,7.8,The Chemical Brothers,Singles 93-03,9/25/2003,,,,,,,,
2204,6.9,Casiotone for the Painfully Alone,Twinkle Echo,9/25/2003,,,,,,,,
2205,7.9,Bola,Soup,9/25/2003,,,,,,,,
2206,9.5,The Wrens,The Meadowlands,9/29/2003,,,,,,,,
2207,8.5,Asmus Tietchens,Biotop,9/29/2003,,,,,,,,
2208,6.7,Nick Fort\xc3\xa9,Pasted Lakes,9/29/2003,,,,,,,,
2209,7.6,Erase Errata,At Crystal Palace,9/29/2003,,,,,,,,
2210,7.2,Apollo Sunshine,Katonah,9/29/2003,,,,,,,,
2211,6.3,Various Artists,Lost in Translation,10/1/2003,,,,,,,,
2212,7.1,LoDeck,Dream Dentistry,9/30/2003,,,,,,,,
2213,7.7,Consonant,Love and Affliction,9/30/2003,,,,,,,,
2214,7,Bottom of the Hudson,The Omaha Record,9/30/2003,,,,,,,,
2215,9.5,Neil Young,On the Beach / American Stars 'n' Bars / Hawks & Doves / Re-ac-tor,9/30/2003,,,,,,,,
2216,9.7,N.W.A.,Straight Outta Compton / Efil4zaggin,10/2/2003,,,,,,,,
2217,8.4,The Fiery Furnaces,Gallowsbird's Bark,10/2/2003,,,,,,,,
2218,7.1,North of America,"Brothers, Sisters",10/1/2003,,,,,,,,
2219,8,Pierre Crube,Immediate False Relief,10/1/2003,,,,,,,,
2220,6,Alias,Eyes Closed EP,10/1/2003,,,,,,,,
2221,7.5,Belle And Sebastian,Dear Catastrophe Waitress,10/5/2003,,,,,,,,
2222,8.3,Young People,War Prayers,10/2/2003,,,,,,,,
2223,8.4,Cyann & Ben,Spring,10/2/2003,,,,,,,,
2224,7.7,British Sea Power,The Decline of British Sea Power,10/2/2003,,,,,,,,
2225,4,Big Star,Big Star Story,10/2/2003,,,,,,,,
2226,8.1,Alamaailman Vasarat,K\xc3\xa4\xc3\xa4rmelautakunta,10/6/2003,,,,,,,,
2227,3,Year of the Rabbit,Year of the Rabbit,10/5/2003,,,,,,,,
2228,8,Reverend Charlie Jackson,God's Got It: The Legendary Booker and Jackson Singles,10/5/2003,,,,,,,,
2229,9,Dexys Midnight Runners,Let's Make This Precious: The Best of Dexys Midnight Runners,10/5/2003,,,,,,,,
2230,7.9,Black Forest/Black Sea,Black Forest/Black Sea,10/5/2003,,,,,,,,
2231,9,Blue Cheer,Vincebus Eruptum / Outsideinside,10/7/2003,,,,,,,,
2232,8.4,Wovenhand,Blush Music,10/6/2003,,,,,,,,
2233,7.5,Minor Threat,First Demo Tape,10/6/2003,,,,,,,,
2234,6,The Dismemberment Plan,A People's History of The Dismemberment Plan,10/6/2003,,,,,,,,
2235,6.7,Erykah Badu,Worldwide Underground,10/6/2003,,,,,,,,
2236,8.4,The Books,The Lemon of Pink,10/8/2003,,,,,,,,
2237,7.1,Gillian Welch,Soul Journey,10/7/2003,,,,,,,,
2238,7.8,Polmo Polpo,Like Hearts Swelling,10/7/2003,,,,,,,,
2239,6.4,Death Cab for Cutie,Transatlanticism,10/7/2003,,,,,,,,
2240,7.5,Jay-Z,The Blueprint 2: The Gift and the Curse / Blueprint 2.1,10/7/2003,,,,,,,,
2241,8.4,The Darkness,Permission to Land,10/9/2003,,,,,,,,
2242,6.8,Ted Leo and the Pharmacists,"Tell Balgeary, Balgury is Dead EP",10/9/2003,,,,,,,,
2243,6.8,C-Rayz Walz,Ravipops (The Substance),10/8/2003,,,,,,,,
2244,5,Stereolab,Instant 0 in the Universe EP,10/8/2003,,,,,,,,
2245,7,The Ladybug Transistor,Ladybug Transistor,10/8/2003,,,,,,,,
2246,5,The Fire Theft,Fire Theft,10/12/2003,,,,,,,,
2247,7.9,David Byrne,Lead Us Not into Temptation,10/12/2003,,,,,,,,
2248,8.4,Superchunk,Cup of Sand,10/9/2003,,,,,,,,
2249,7,Josh Rouse,1972,10/9/2003,,,,,,,,
2250,6.1,Anders Ilar,Everdom,10/9/2003,,,,,,,,
2251,5.8,Goa,Goa!,10/13/2003,,,,,,,,
2252,8.5,Ice Cube,Greatest Hits,10/13/2003,,,,,,,,
2253,7.4,stellastarr*,Stellastarr,10/12/2003,,,,,,,,
2254,6.6,Neil Perry,Lineage Situation,10/12/2003,,,,,,,,
2255,6.1,Adam Green,Jessica EP,10/12/2003,,,,,,,,
2256,7,Various Artists,Saddle Creek 50,10/14/2003,,,,,,,,
2257,7.2,The Bug,Pressure,10/14/2003,,,,,,,,
2258,7.9,Aki Onda,"Ancient & Modern: Cassette Memories, Vol. 1",10/13/2003,,,,,,,,
2259,9.2,Non-Prophets,Hope,10/13/2003,,,,,,,,
2260,7.3,Matmos,The Civil War,10/13/2003,,,,,,,,
2261,8.1,Do Make Say Think,Winter Hymn Country Hymn Secret Hymn,10/15/2003,,,,,,,,
2262,9.7,The Byrds,Sweetheart of the Rodeo [Legacy Edition],10/15/2003,,,,,,,,
2263,6.6,U.S. Maple,Purple on Time.,10/14/2003,,,,,,,,
2264,8.4,The National,Sad Songs for Dirty Lovers,10/14/2003,,,,,,,,
2265,8.6,Miles Davis,The Complete Jack Johnson Sessions,10/14/2003,,,,,,,,
2266,8.7,Caf\xc3\xa9 Tacuba,Cuatro Caminos,10/16/2003,,,,,,,,
2267,8,The Austerity Program,Terra Nova EP,10/16/2003,,,,,,,,
2268,7.5,William Elliott Whitmore,Hymns for the Hopeless,10/15/2003,,,,,,,,
2269,7.1,Kingsbury Manx,Aztec Discipline,10/15/2003,,,,,,,,
2270,6.6,Ken Ikeda,Merge,10/15/2003,,,,,,,,
2271,8.5,Tim Berne,The Sublime And.,10/19/2003,,,,,,,,
2272,3,Asteroid No. 4,Honeyspot,10/19/2003,,,,,,,,
2273,6.5,The Stills,Rememberese EP,10/16/2003,,,,,,,,
2274,7.9,Starflyer 59,Old,10/16/2003,,,,,,,,
2275,5.9,Ms. John Soda,While Talking EP,10/16/2003,,,,,,,,
2276,8.8,Birdtree,Orchards & Caravans,10/20/2003,,,,,,,,
2277,7.9,Brendan Benson,One Mississippi,10/20/2003,,,,,,,,
2278,8.7,Various Artists,"Kill Bill, Vol. 1",10/19/2003,,,,,,,,
2279,6.8,Gorky's Zygotic Mynci,Sleep/Holiday,10/19/2003,,,,,,,,
2280,7.3,Andrew Broder,Modern Hits EP,10/19/2003,,,,,,,,
2281,9.1,Basement Jaxx,Kish Kash,10/21/2003,,,,,,,,
2282,8.4,Knife in the Water,Plays One Sound and Others / Red River / Cut the Cord,10/21/2003,,,,,,,,
2283,8.9,The Shins,Chutes Too Narrow,10/20/2003,,,,,,,,
2284,6.4,Loren Connors & David Grubbs,Arborvitae,10/20/2003,,,,,,,,
2285,8,Various Artists,E*A*D*G*B*E,10/20/2003,,,,,,,,
2286,7.8,Bexar Bexar,Haralambos,10/22/2003,,,,,,,,
2287,8.2,Aesop Rock,Bazooka Tooth,10/22/2003,,,,,,,,
2288,5.1,Travis,12 Memories,10/21/2003,,,,,,,,
2289,8.7,Menomena,I Am the Fun Blame Monster,10/21/2003,,,,,,,,
2290,5.5,Kenna,New Sacred Cow,10/21/2003,,,,,,,,
2291,5.5,Atmosphere,Seven's Travels,10/23/2003,,,,,,,,
2292,8.2,Volap\xc3\xbck,Where Is Tamashii?,10/22/2003,,,,,,,,
2293,4.4,Vue,Down for Whatever,10/22/2003,,,,,,,,
2294,7.7,The Pleased,Don't Make Things,10/22/2003,,,,,,,,
2295,7.4,Kid Koala,Some of My Best Friends Are DJs,10/22/2003,,,,,,,,
2296,6.4,Gentleman Reg,Make Me Pretty,10/26/2003,,,,,,,,
2297,6.8,Cul de Sac,The Strangler's Wife,10/26/2003,,,,,,,,
2298,7.9,Rachel's,Systems/Layers,10/23/2003,,,,,,,,
2299,8.2,Twine,Twine,10/23/2003,,,,,,,,
2300,8.1,The Chinese Stars,Turbo Mattress EP,10/23/2003,,,,,,,,
2301,6.5,Cobra Verde,Easy Listening,10/27/2003,,,,,,,,
2302,7.7,Cerberus Shoal,Chaiming the Knobblessone,10/27/2003,,,,,,,,
2303,7.8,Vells,Vells EP,10/26/2003,,,,,,,,
2304,8,The Strokes,Room on Fire,10/26/2003,,,,,,,,
2305,7.3,Portastatic,Autumn Was a Lark,10/26/2003,,,,,,,,
2306,6.9,Midwest Product,World Series of Love,10/28/2003,,,,,,,,
2307,7.4,Hurricane Lamps,Sing Me a Song,10/28/2003,,,,,,,,
2308,6.9,Brand New,Deja Entendu,10/28/2003,,,,,,,,
2309,8,Mando Diao,Bring 'Em In,10/27/2003,,,,,,,,
2310,7.6,Lyrics Born,Later That Day,10/27/2003,,,,,,,,
2311,3.5,Peaches,Fatherfucker,10/29/2003,,,,,,,,
2312,7.2,Denali,The Instinct,10/29/2003,,,,,,,,
2313,7.9,Black-Eyed Snakes,Rise Up!,10/29/2003,,,,,,,,
2314,8.1,Spacemen 3,Forged Prescriptions,10/28/2003,,,,,,,,
2315,7.5,R.E.M.,In Time: The Best of R.E.M. 1988-2003,10/28/2003,,,,,,,,
2316,3.7,Jet,Get Born,10/30/2003,,,,,,,,
2317,8.3,Andrew Bird,Weather Systems,10/30/2003,,,,,,,,
2318,7.2,Hieroglyphics,Full Circle,10/30/2003,,,,,,,,
2319,8.5,Pluramon,Dreams Top Rock,10/29/2003,,,,,,,,
2320,8.2,Plaid,Parts in the Post,10/29/2003,,,,,,,,
2321,6.4,Mood Elevator,Married Alive,11/2/2003,,,,,,,,
2322,6.5,Azure Ray,Hold on Love,11/2/2003,,,,,,,,
2323,7.1,Ashley Park,The Secretariat Motor Hotel,11/2/2003,,,,,,,,
2324,3,Red Hot Valentines,Summer Fling,10/30/2003,,,,,,,,
2325,8.5,Junior Boys,Birthday EP,10/30/2003,,,,,,,,
2326,4.1,Iggy Pop,Skull Ring,11/3/2003,,,,,,,,
2327,6.6,Mojave 3,Spoon & Rafter,11/3/2003,,,,,,,,
2328,8.5,Child's View,Funfair,11/3/2003,,,,,,,,
2329,5.1,Obie Trice,Cheers,11/3/2003,,,,,,,,
2330,5.1,The Stills,Logic Will Break Your Heart,11/2/2003,,,,,,,,
2331,3,Party of One,Caught the Blast,11/4/2003,,,,,,,,
2332,9.5,Guided By Voices,Human Amusement at Hourly Rates: The Best of Guided by Voices,11/4/2003,,,,,,,,
2333,7.8,Matthew Dear,Leave Luck to Heaven,11/4/2003,,,,,,,,
2334,7.4,Wolf Eyes & Black Dice,Wolf Eyes & Black Dice,11/4/2003,,,,,,,,
2335,3.7,Reggie and the Full Effect,Under the Tray,11/3/2003,,,,,,,,
2336,7,Ladytron,Softcore Jukebox,11/5/2003,,,,,,,,
2337,6,Crescent,By the Roads and the Fields,11/5/2003,,,,,,,,
2338,6.8,Roosevelt Franklin,Something's Gotta Give,11/5/2003,,,,,,,,
2339,6.9,Rafael Toral,Electric Babyland/Lullabies,11/4/2003,,,,,,,,
2340,3.1,RZA,Birth of a Prince,11/4/2003,,,,,,,,
2341,7.7,Jonny Greenwood,Bodysong,11/6/2003,,,,,,,,
2342,6,Client,Client,11/6/2003,,,,,,,,
2343,8,Milton Babbitt,The Music of Milton Babbitt,11/6/2003,,,,,,,,
2344,7.8,Wheat,Per Second Per Second Per Second... Every Second,11/5/2003,,,,,,,,
2345,7.5,The USA Is a Monster,Tasheyana Compost,11/5/2003,,,,,,,,
2346,7.1,Jean Grae,The Bootleg of the Bootleg EP,11/9/2003,,,,,,,,
2347,8.3,Charalambides,Unknown Spin,11/9/2003,,,,,,,,
2348,2.9,Ryan Adams,Rock N Roll,11/9/2003,,,,,,,,
2349,7.1,Ginger Brooks Takahashi / Mirah Yom Tov Zeitlyn,Songs from the Black Mountain Music Project,11/7/2003,,,,,,,,
2350,6,Soft Canyon,"Broken Spirit, I Will Mend Your Wings",11/6/2003,,,,,,,,
2351,6.9,Daedelus,Rethinking the Weather,11/10/2003,,,,,,,,
2352,3.9,Elvis Costello,North,11/10/2003,,,,,,,,
2353,8.9,Ellen Allien,Berlinette,11/10/2003,,,,,,,,
2354,6.9,Winfred E. Eye,The Dirt Tier,11/9/2003,,,,,,,,
2355,5.9,Thunderbirds Are Now!,"Doctor, Lawyer, Indian Chief",11/9/2003,,,,,,,,
2356,7.5,Lovely Midget,North Head,11/11/2003,,,,,,,,
2357,7.4,The Handsome Family,Singing Bones,11/11/2003,,,,,,,,
2358,3.9,Caustic Resin,Keep on Truckin',11/11/2003,,,,,,,,
2359,7.5,Soul Position,"8,000,000 Stories",11/10/2003,,,,,,,,
2360,4.6,Sentridoh,Lou B's Wasted Pieces: 87-93,11/10/2003,,,,,,,,
2361,6.6,Nervous Cop,Nervous Cop,11/12/2003,,,,,,,,
2362,7.3,LFO,Sheath,11/12/2003,,,,,,,,
2363,6.8,Various Artists,Wig in a Box: Songs from and Inspired by Hedwig and the Angry Inch,11/12/2003,,,,,,,,
2364,8.9,The Unicorns,Who Will Cut Our Hair When We're Gone?,11/11/2003,,,,,,,,
2365,7.4,Single Frame,Burn Radio Airtest EP,11/11/2003,,,,,,,,
2366,7.1,The Raveonettes,Chain Gang of Love,11/13/2003,,,,,,,,
2367,8.5,Michael Mayer,Fabric 13,11/13/2003,,,,,,,,
2368,6,Alias,Muted,11/13/2003,,,,,,,,
2369,7.5,Jaga Jazzist / Motorpsycho,In the Fishtank,11/13/2003,,,,,,,,
2370,8.6,Teenage Fanclub,Four Thousand Seven Hundred and Sixty-Six Seconds: A Shortcut to Teenage Fanclub,11/12/2003,,,,,,,,
2371,8.8,Parsley Sound,Parsley Sounds,11/16/2003,,,,,,,,
2372,8,Jay-Z,The Black Album,11/16/2003,,,,,,,,
2373,5.9,Babbletron,Mechanical Royalty,11/16/2003,,,,,,,,
2374,6.2,Plaid,Spokes,11/14/2003,,,,,,,,
2375,6.1,23 Skidoo,The Culling Is Coming,11/13/2003,,,,,,,,
2376,7.6,Six Organs of Admittance,Compathia,11/17/2003,,,,,,,,
2377,6.4,J-Live,Always Will Be EP,11/17/2003,,,,,,,,
2378,6.7,Clem Snide,A Beautiful EP,11/17/2003,,,,,,,,
2379,7.3,Luke Vibert,YosepH,11/16/2003,,,,,,,,
2380,7.1,Three 4 Tens,Taking Northern Liberties,11/16/2003,,,,,,,,
2381,7.4,Jaylib,Champion Sound,11/18/2003,,,,,,,,
2382,6.9,Jason Collett,Motor Motel Love Songs,11/18/2003,,,,,,,,
2383,6.2,Omid,Monolith,11/18/2003,,,,,,,,
2384,7.6,Deadbeat / Stephen Beaupr\xc3\xa9,It's a Crackhaus Thing,11/18/2003,,,,,,,,
2385,6.7,Soul-Junk,1958,11/17/2003,,,,,,,,
2386,7.4,The Frames,The Roads Outgrown,11/19/2003,,,,,,,,
2387,7,The Beatles,Let It Be... Naked,11/19/2003,,,,,,,,
2388,8.3,Sun Kil Moon,Ghosts of the Great Highway,11/19/2003,,,,,,,,
2389,7.6,Yo La Tengo,Today Is the Day! EP,11/18/2003,,,,,,,,
2390,7.4,The Kills,Black Rooster EP,11/18/2003,,,,,,,,
2391,6.6,Listener,Whispermoon,11/20/2003,,,,,,,,
2392,7,The Flaming Lips,Ego Tripping at the Gates of Hell EP,11/20/2003,,,,,,,,
2393,7,DJ Andy Smith,The Document II,11/20/2003,,,,,,,,
2394,9.1,The Bevis Frond,New River Head,11/20/2003,,,,,,,,
2395,4.9,Starsailor,Silence Is Easy,11/19/2003,,,,,,,,
2396,7.5,Hip Tanaka,Splinter,11/30/2003,,,,,,,,
